	qid	question	timestamp
1257	2176	How can I stop a merchant from charging a credit card processing fee?	Apr 13 at 12:25
1258	2177	Should I find a regular job or continue doing what am doing? 	Oct 5 at 13:17
1259	2178	Can I claim the standard deduction being an Indian citizen and non-resident in USA for tax purposes?	Feb 25 '16 at 18:18
1260	2179	How to get a credit card as a minor?	May 26 at 1:43
1261	2181	What are the risks & rewards of being a self-employed independent contractor / consultant vs. being a permanent employee?	Jan 7 '10 at 3:47
1262	2182	Property Trust - who or what is the Owner?	May 31 '15 at 18:00
1263	2183	Why are there many small banks and more banks in the U.S.?	Oct 28 at 15:04
1264	2184	Ideal investments for a recent college grad with very high risk tolerance?	Aug 14 '14 at 1:29
1265	2185	Is it wise to invest in a stock with a large Div yield?	Jan 28 '16 at 3:51
1266	2186	Is it sensible to redirect retirement contributions from 401(k) towards becoming a landlord?	Jan 23 at 15:05
1267	2187	How to report Canadian income from a small contract job?	Mar 12 at 21:26
1268	2188	What is value investing? What are the key principles of value investing?	Jul 17 '13 at 18:44
1269	2189	I may earn a lot of cash soon through self-employment on a lucrative project.  How to handle the tax?	Jun 25 '11 at 19:24
1270	2191	Why would someone want to sell call options?	Jul 10 at 16:55
1271	2192	What to do with a distribution as a young person?	Sep 5 '14 at 15:03
1272	2193	How much money do you have to make every year before you have to pay tax?	Mar 24 at 13:11
1273	2196	Paying taxes on income earned in the US, but from a company based in Norway	Sep 24 '15 at 10:31
1274	2197	Should I have a higher credit limit on my credit card?	Jul 17 at 14:51
1275	2198	Why does my bank suddenly need to know where my money comes from?	Jun 22 '11 at 21:30
1276	2199	How can rebuilding a city/large area be considered an economic boost?	Mar 15 '11 at 21:30
1277	2200	Money transfer from Australia to India - avoid receiving ends service tax	Nov 3 '13 at 10:49
1278	2201	Possibility of donations in an educational site	Jul 7 '14 at 11:03
1279	2202	Can two companies own stock in each other?	Apr 26 '13 at 2:42
1280	2203	Does inflation equal more loans? 	Jun 1 '14 at 20:25
1281	2204	What's an economic explanation for why greeting cards are so expensive? 	Apr 30 '15 at 23:57
1282	2205	Tax considerations for outsourcing freelance work to foreign country	Apr 13 at 12:25
1283	2206	Are there brokers or companies who trade Forex and make money for us on our investment? And do you think fxtradeinvestment is legit?	Oct 3 '16 at 21:24
1284	2207	How much time would I have to spend trading to turn a profit?	Nov 18 '10 at 1:43
1285	2208	Can gold prices vary between two places or country at the same time?	Dec 28 '11 at 15:00
1286	2209	Formula for recalculation of a bad loan, i.e. where payments were missed?	Apr 5 '12 at 12:39
1287	2210	How long should I keep an uncleared transaction in my checkbook?	May 9 '12 at 23:34
1288	2211	PayPal wants me to “add a bank account”, another funding source. Credit card isn't working. Why?	Aug 25 '15 at 13:35
1289	2212	Definition of gross income (Arizona state tax filing requirements)	Feb 24 '12 at 22:26
1290	2213	How is Discover different from a Visa or a MasterCard?	Nov 20 '14 at 0:14
1291	2215	How does a lender compute equity requirement for PMI?	Apr 10 '15 at 21:56
1292	2216	Transfer money from a real estate sale in India to the US	May 5 '15 at 19:35
1293	2218	How can a Canadian establish US credit score	Apr 18 '15 at 2:41
1294	2220	What are some examples of unsecured loans	Nov 7 '15 at 3:45
1295	2221	Do I have to pay a capital gains tax if I rebuy different stocks?	Dec 9 '11 at 16:36
1296	2222	Claiming income/deductions on an illegal apartment	Aug 4 at 18:21
1297	2225	Pros, cons, and taxation of Per Diem compensation?	May 4 '14 at 0:52
1298	2228	Best way to day trade with under $25,000	Apr 1 at 14:54
1299	2231	Pay via Debit Card or Bank's portal	Jul 2 at 3:52
1300	2232	Can I transfer self-employed income into LLC?	Nov 4 at 1:09
1301	2233	How to gift money anonymously to an individual after collection thru a donation site?	Jan 5 '15 at 18:01
1302	2235	How can I determine if leaving a lower paying, tax advantaged, job for a higher paying one makes sense financially?	Mar 18 '14 at 15:33
1303	2236	What should I do with a savings account in another country?	Aug 30 at 10:14
1304	2237	Help! I've cancelled their service, but this company continues to bill my credit card an annual fee. What can I do?	Jan 19 '10 at 23:55
1305	2238	Do I need to file a tax return as a student?	Jan 26 '16 at 16:10
1306	2239	Alternative to Jumbo Mortgage	Mar 25 '12 at 14:21
1307	2241	How does a online only bank protect itself against fraud? 	Jun 25 '16 at 22:50
1308	2243	Should I lease, buy new, or buy used?	Sep 13 '13 at 13:18
1309	2244	Huge return on investment, I feel like im doing the math wrong	Nov 14 '14 at 23:21
1310	2245	What is the best way to short the San Francisco real estate market?	Sep 6 '15 at 4:49
1311	2246	Are there online brokers in the UK which don't require margin account? 	Jan 3 '15 at 1:42
1312	2247	Is there such a thing as a deposit-only bank account?	Feb 3 '11 at 12:36
1313	2248	Do you know of any online monetary systems?	Jan 15 '11 at 14:53
1314	2250	Is buying and selling Bitcoin (and other cryptocurrency) legal for a student on F-1 Visa doing OPT in USA?	Nov 9 at 11:48
1315	2251	Why does HMRC still require “payment on account” after I have moved to PAYE?	Nov 22 at 12:52
1316	2252	High dividend stocks	Aug 10 '10 at 19:13
1317	2254	Is there any downside to using temporary credit card numbers with subscription services?	May 5 '11 at 15:52
1318	2259	What happens to bank account of non-resident alien who falls out of status?	Oct 19 '16 at 20:55
1319	2261	New 1099 employee with Cobra insurance	May 4 '16 at 2:39
1320	2263	What things should I consider when getting a joint-mortgage?	Nov 30 '14 at 11:22
1321	2264	Personal Tax Return software for Linux?	Jan 11 '12 at 15:43
1322	2265	Benjamin Graham: Minimum Size of the company	May 19 '13 at 5:20
1323	2267	W8-BEN for an Indian Citizen	Apr 9 '16 at 15:35
1324	2269	501(3)(c) to donators for trophy party	Mar 3 '14 at 1:11
1325	2273	Is there any truth to the saying '99% of the world's millionaires have become rich by doing real estate'?	Mar 23 '11 at 20:20
1326	2275	Which Roth IRA is the best for a 21 year old who has about $1500?	Dec 19 '11 at 17:58
1327	2276	How do credit card banks detect fraudulent transactions without requiring a travel advisory?	Jan 20 at 18:39
1328	2277	How does the market adjust for fees in ETPs?	Mar 1 at 15:01
1329	2278	What is expense growth in this diagram?	Mar 26 '11 at 23:35
1330	2279	Is it safe to accept money in the mail?	Jul 18 '11 at 22:40
1331	2280	How to find the smallest transaction fees and commissions available and reduce trading overhead?	Sep 13 '13 at 13:12
1332	2281	Is per diem taxable?	Nov 9 '14 at 20:11
1333	2282	Do I have to work a certain amount of hours in order to get paid monthly?	Aug 3 '15 at 6:01
1334	2283	Where can I find historic ratios by industry? 	Apr 13 at 12:25
1335	2284	Live in Florida & work remote for a New York company. Do I owe NY state income tax?	Oct 21 '14 at 3:43
1336	2286	Why would analysts recommend buying companies with negative net income?	May 26 '13 at 23:59
1337	2287	Mortgage interest income tax deduction during year with a principal residence change	Feb 2 '11 at 19:25
1338	2288	If a company's assets are worth more than its market cap, can one say the shares must be undervalued?	Jun 26 '15 at 14:54
1339	2290	For Federal Crimes, where does the money collected from penalties go? 	Apr 10 '14 at 17:16
1340	2291	Do I have to pay the internet installation charges for my home's company internet?	Jan 15 '15 at 14:31
1341	2292	What is the best way to determine if you should refinance a mortgage?	Aug 4 '10 at 20:56
1342	2293	Moving savings to Canada?	Jul 10 '12 at 17:14
1343	2294	Optimal way for withdrawing vested company match from my 401k?	Dec 24 '12 at 13:19
1344	2295	searching for historic exchange rate provider which meets this example data	Aug 21 '12 at 23:03
1345	2296	How does a bank make money on an interest free secured loan?	Aug 22 at 14:51
1346	2297	Any specific examples of company valuations according to Value Investing philosophy?	Jan 23 '12 at 1:43
1347	2300	Does Reuters provide the 4pm London Spot rate for currencies?	Mar 22 '11 at 13:20
1348	2301	How do I protect money above the FDIC coverage limit?	May 10 '16 at 2:08
1349	2303	Does high inflation help or hurt companies with huge cash reserves?	Apr 13 at 12:25
1350	2304	How can I make a one-time income tax-prepayment to the US Treasury?	Dec 18 '15 at 18:29
1351	2305	Is there a lower threshold for new EU VAT changes coming 1 Jan 2015 related to the sale of digital goods?	Nov 24 '14 at 19:24
1352	2306	To whom should I report fraud on both of my credit cards?	Mar 26 '15 at 22:11
1353	2307	What US tax laws apply to a 13 year old game developer?	Aug 1 '16 at 10:41
1354	2308	In the USA, why is the Free File software only available for people earning less than $62k?	Jan 27 '16 at 16:11
1355	2310	can the government or debt collectors garnish money from any bank account to which the debtor has access?	Mar 16 '13 at 16:46
1356	2311	Contract job (hourly rate) as a 1099: How much would I be making after taxes?	Mar 9 '11 at 16:04
1357	2312	In what state should I register my web-based LLC?	Apr 15 '10 at 12:08
1358	2314	Do altcoin trades count as like-kind exchanges? (Deferred capital gains tax)	Jan 13 at 23:41
1359	2315	Which state do saving interests come from?	Feb 14 '13 at 5:18
1360	2316	What exchange rate does El Al use when converting final payment amount to shekels?	Nov 25 '15 at 14:43
1361	2317	Incorporating, issuing stock and evaluating it	Feb 11 '16 at 7:12
1362	2318	F1 student and eBay selling tax	Jul 10 '16 at 12:17
1363	2319	Pros and cons of using a personal assistant service to manage your personal finances?	Sep 6 '10 at 15:21
1364	2320	How can I calculate interest portion of income when selling a stock?	May 25 '12 at 4:53
1365	2322	What's the difference when asked for “debit or credit” by a store when using credit and debit cards?	Sep 21 '12 at 12:36
1366	2323	Tax deductions on empty property	Jun 12 '15 at 14:12
1367	2325	I forgot to write the name on the check	Apr 28 '16 at 13:23
1368	2326	Personal Banking using accrual method	Dec 28 '12 at 0:32
1369	2327	Do company-provided meals need to be claimed on my taxes?	Sep 8 '11 at 17:41
1370	2328	What are the differences among all these different versions of Vivendi?	May 15 '12 at 18:39
1371	2330	How can I determine if a debt consolidation offer is real or a scam?	Mar 22 '12 at 16:05
1372	2331	Investing in third world countries	Jul 21 '14 at 13:23
1373	2332	Net income correlation with Stock Price	Mar 9 '15 at 21:34
1374	2333	Ongoing Automatic Investment Fee	Dec 22 '15 at 6:51
1375	2334	How do you determine “excess cash” for Enterprise Value calculations from a balance sheet?	Aug 28 '11 at 18:52
1376	2335	Giving kids annual tax free gift of $28,000	Feb 14 at 16:25
1377	2336	Can Professional Certifications be written off in taxes?	Jul 23 '15 at 9:06
1378	2338	Trader Fostering Program on Futures Day Trading 	May 25 at 22:53
1379	2339	Is paying off your mortage a #1 personal finance priority?	Jan 31 '16 at 18:15
1380	2341	why do I need an emergency fund if I already have investments?	Aug 7 at 0:08
1381	2343	The Benefits/Disadvantages of using a credit card	Sep 30 '16 at 15:32
1382	2345	Should I pay off a 0% car loan?	Sep 7 '15 at 7:15
1383	2346	2 401k's and a SEP-IRA	Oct 6 at 0:45
1384	2347	In double entry book-keeping, how should I record writing of a check?	Sep 8 '14 at 19:40
1385	2348	Why can't you just have someone invest for you and split the profits (and losses) with him?	Sep 9 '16 at 2:39
1386	2350	How can I legally and efficiently help my girlfriend build equity by helping with a mortgage?	Dec 16 '15 at 18:21
1387	2352	Money limit to pay tax for Patreon	Jun 13 at 3:22
1388	2353	If I have no exemptions or deductions, just a simple paycheck, do I HAVE to file taxes?	Aug 6 '16 at 19:13
1389	2354	Are there guidelines for whom you should trust for financial advice (online, peer, experts, only myself, etc)	Oct 26 '14 at 15:58
1390	2357	Including the region where you live in your investment portfolio?	Nov 11 '10 at 17:15
1391	2358	Interest on security deposits paid to landlords, in Michigan?	Apr 24 '13 at 23:44
1392	2359	Bank of the Sierra: Are they legit? How can the checking interest APY be so high?	Feb 9 '10 at 3:28
1393	2360	How does historical data get adjusted for dividends, exactly?	Aug 8 '16 at 17:26
1394	2361	What economic, political and other factors influence mortgage rates (and how)?	Mar 31 '11 at 13:49
1395	2362	Why do US retirement funds typically have way more US assets than international assets?	Apr 16 '15 at 22:31
1396	2364	Do I need to file taxes when selling on eBay or Amazon?	Dec 14 '16 at 23:06
1397	2365	Making your first million… is easy! (??)	May 3 '11 at 23:10
1398	2366	What are the risks of Dividend-yielding stocks?	Oct 23 '15 at 2:03
1399	2368	Where to deduct gambling losses?	Mar 27 '14 at 13:42
1400	2369	are there any special procedures for managing non-petty cash?	Jun 2 '14 at 7:56
1401	2371	Is sales tax for online purchases based on billing- or shipping address?	Apr 13 at 12:25
1402	2372	Single employee - paying for health insurance premiums with pre-tax money	Sep 21 '15 at 13:34
1403	2373	Everyone got a raise to them same amount, lost my higher pay than the newer employees 	Aug 10 '15 at 1:56
1404	2375	FHA Reduction Notices From Third-Party Companies - Scam? Or Something To Consider?	Mar 18 '12 at 17:26
1405	2376	Why do gas stations charge different amounts in the same local area?	Jul 26 '13 at 17:56
1406	2377	Is there any way to buy a new car directly from Toyota without going through a dealership?	Mar 30 '16 at 2:14
1407	2379	Should a high-school student invest their (relative meager) savings?	Jan 2 at 14:44
1408	2380	Pending euro payment to a usd account	Oct 20 at 23:41
1409	2382	Why would my job recruiter want me to form an LLC?	Aug 2 '15 at 16:29
1410	2383	Should I Purchase Health Insurance Through My S-Corp	Nov 15 '15 at 3:46
1411	2384	Tax: 1099 paper form	Jan 30 '16 at 6:58
1412	2385	As director, can I invoice my self-owned company?	Jul 27 '16 at 20:53
1413	2387	Meaning of capital market	Jun 22 '12 at 15:53
1414	2388	Do financial advisors get better deals on mortgages?	Aug 1 '13 at 13:50
1415	2393	Effective returns on investment in housing vs other financial instruments	Nov 22 '15 at 13:41
1416	2395	Freelance site with lowest commission fees? 	Mar 21 '15 at 7:25
1417	2396	Apartment lease renewal - is this rate increase normal?	Apr 2 '15 at 6:11
1418	2397	California resident, Delaware C-Corp - Taxes for 1-person software freelancer?	Nov 8 '15 at 2:45
1419	2398	Frustrated Landlord	Feb 27 '15 at 17:45
1420	2399	Where do web sites get foreign exchange currency rate / quote information?	Jun 25 '13 at 13:18
1421	2400	Will I be paid dividends if I own shares?	Mar 10 at 20:28
1422	2403	Why would I choose a 40-Year depreciation instead of the standard 27.5-Year?	Mar 4 '15 at 16:07
1423	2404	Investor returns from crowdfunding	Dec 2 '16 at 17:06
1424	2405	Should I be claiming more than 1 exemption?	Sep 19 at 17:28
1425	2407	How long to wait after getting a mortgage to increase my credit limit?	Feb 15 '16 at 5:29
1426	2408	Can I transfer my West Australian rock lobster quota units into my SMSF?	Jan 2 '14 at 19:58
1427	2409	250k USD in savings. What's next?	Jun 3 '14 at 18:04
1428	2410	Interest on self assessment tax	May 18 '15 at 11:52
1429	2411	Can I pay a loan under someone else's name? (assume the dispenser of the loan is malicious)	Aug 16 at 23:22
1430	2412	How can one protect oneself from a dividend stock with decreasing price?	Nov 1 at 20:08
1431	2413	What's the best way to make money from a market correction?	Mar 27 at 21:50
1432	2414	Do I need to prove 'Garage Sale' items incurred a loss	Mar 26 at 17:24
1433	2416	Why should a company go public?	Feb 1 at 18:09
1434	2418	Where can I find definitive terms for a preferred share?	Nov 23 '13 at 11:01
1435	2420	Should we prepay our private student loans, given our particular profile?	Mar 29 '11 at 22:59
1436	2423	At what age should I start or stop saving money?	Apr 30 '13 at 14:48
1437	2425	Does investing money in other currencies help pad losses in case of a stock market crash?	Jun 5 '14 at 13:41
1438	2426	Accepting personal “donations” (not as a non-profit)	Jun 27 '15 at 17:35
1439	2428	how does one start an investing club (as a company)?	Jul 8 '11 at 19:22
1440	2429	Is a debt collector allowed to make a hard inquiry on your credit report?	Jun 5 '13 at 15:35
1441	2430	In the UK, can authors split a single advance on a book over multiple tax returns?	Sep 7 at 15:33
1442	2431	How much (paper) cash should I keep on hand for an emergency?	Jan 4 at 21:07
1443	2432	Where can I find recent information about which major shareholders changed their positions in a given stock?	Jul 29 '13 at 13:54
1444	2434	Bank will not accept loose change. Is this legal?	Aug 31 at 23:38
1445	2435	How to measure the cost/value of an Asset in the Financial Statement	Mar 24 '13 at 1:13
1446	2436	60% Downpayment on house?	Nov 6 '15 at 9:42
1447	2437	What sort of tax treatment does a charitable micro-lending loan incur?	Jun 20 '12 at 16:14
1448	2438	Why don't banks give access to all your transaction activity?	Jan 5 '16 at 19:49
1449	2439	How do brokerage firms make money?	Oct 10 at 12:55
1450	2440	Why do people buy stocks that pay no dividend?	Sep 7 '15 at 8:14
1451	2441	Is building a corporation a good option?	Apr 7 '13 at 0:12
1452	2443	What are some way to transfer money from Hong Kong to India on a monthly basis? 	Oct 14 '13 at 15:31
1453	2444	Can this year's free extension-to-pay be filed electronically? IRS Form 1127	Mar 17 '12 at 20:17
1454	2445	How do I notify the IRS of a new member to an LLC?	Oct 25 '15 at 21:20
1455	2446	Why credit cards are sold through banks and not from Visa or MasterCard directly 	Nov 29 '13 at 21:14
1456	2447	In a competitive market, why is movie theater popcorn expensive?	May 25 '13 at 14:49
1457	2448	Why isn't money spent on necessities deductible from your taxes?	Aug 25 '14 at 13:33
1458	2450	My account's been labeled as “day trader” and I got a big margin call. What should I do? What trades can I place in the blocked period?	May 13 '13 at 15:32
1459	2451	using credit card and paying back quickly	Jul 26 '16 at 21:26
1460	2452	Can I do periodic rollovers from my low-perfoming 401k to an IRA?	Aug 10 '16 at 19:25
1461	2453	As an American working in the UK, do I have to pay taxes on foreign income?	Nov 7 '11 at 1:26
1462	2454	How can I find out what category a merchant falls into for my credit card's cashback program? [duplicate]	Oct 17 '16 at 3:20
1463	2455	Gift card fraud: To whom to report? How to recover funds? Is the party which issued me the card liable?	Apr 6 '14 at 4:05
1464	2456	How does on-demand insurance company Trov prevent insurance fraud or high prices?	Jun 6 at 14:48
1465	2457	Personal Tax Deduction for written work to a recognized 501c3	Oct 25 '16 at 3:35
1466	2459	I'm currently unemployed and have been offered a contract position. Do I need to incorporate myself? How do I do it?	Oct 8 '09 at 19:50
1467	2460	What are the consequences of not respecting a notice period when leaving a job?	Apr 12 '11 at 22:37
1468	2461	Working in Iran for foreign company	Jun 13 '14 at 3:43
1469	2462	What is the rationale behind brokerages establishing tiers/levels for options trading?	Mar 21 '14 at 11:51
1470	2463	How can I estimate the value of private stock behind employee stock options?	May 8 '12 at 5:08
1471	2465	Can capital expenses for volunteer purposes be deducted from income?	Apr 14 '15 at 15:35
1472	2466	understand taxes when geting money from a project built long time ago plus my full time job	Jun 26 '15 at 10:10
1473	2467	Filing 1040-NR when I have been outside the US the entire year?	Mar 16 '16 at 16:09
1474	2468	Is buying a lottery ticket considered an investment? 	Apr 13 at 12:25
1475	2469	Is there any way to pay online in a country with no international banking system	May 8 '15 at 20:38
1476	2470	How to incentivize a real-estate broker to find me a cheap house	Dec 5 '15 at 19:52
1477	2472	How do I deal with a mistaken attempt to collect a debt from me that is owed by someone else?	Feb 9 '15 at 22:15
1478	2474	How can online trading platforms be trustworthly? 	Jan 28 at 0:25
1479	2475	Why do banks encourage me to use online bill payment?	Sep 16 '11 at 5:38
1480	2478	Form as LLC or S Corp to reduce tax liability	Jan 15 '15 at 4:45
1481	2479	Good at investing - how to turn this into a job?	Feb 12 '10 at 20:06
1482	2480	Alternatives to Intuit's PayTrust service for online bill viewing and bill payment?	Sep 29 '11 at 12:19
1483	2481	Is Stock Trading legal for a student on F-1 Visa in USA? [duplicate]	Apr 23 '16 at 13:22
1484	2482	Does a restaurant have to pay tax on a discount?	Dec 18 '13 at 15:57
1485	2483	Can my brother fix his credit?	Aug 5 '16 at 23:30
1486	2484	Should I pay half a large balance this month before I get my CC statement?	Feb 1 at 16:54
1487	2485	Money put down on home	May 13 at 22:26
1488	2486	Is working on a W2 basis, with benefits paid to me, a good idea?	Feb 2 '11 at 5:16
1489	2487	Saving for retirement without employer sponsored plan	May 15 '14 at 0:29
1490	2488	Why will the bank only loan us 80% of the value of our fully paid for home?	Dec 11 '14 at 14:56
1491	2489	Lend money at a rate linked to the prime rate	Jan 28 '15 at 18:51
1492	2490	Is Bogleheadism (index fund investing) dead?	Jan 14 '14 at 0:40
1493	2491	Is it legal to receive/send “gifts” of Non-Trivial Amounts to a “friend”?	Jul 9 '16 at 17:29
1494	2492	Why do credit cards have minimum limits?	Jul 4 '16 at 3:48
1495	2493	What mix of credit lines and loans is optimal for my credit score?	Sep 16 '14 at 1:11
1496	2494	Taxation from variations in currency	May 26 '11 at 18:19
1497	2497	Strategies for saving and investing in multiple foreign currencies	Aug 20 '10 at 17:32
1498	2498	How do I calculate tax liability on the turnover of a small vendor?	Jul 25 '13 at 13:25
1499	2501	Would there be tax implications if I used AirBnB as opposed to just renting out a unit normally?	Apr 25 '14 at 17:14
1500	2502	What to do if a state and federal refund is denied direct deposit?	Apr 16 '14 at 1:35
1501	2504	Are there any e-commerce taxation rules in India?	May 28 '15 at 7:10
1502	2505	Are reimbursements from company taxable,and do I need to deduct them?	Jan 6 '16 at 22:14
1503	2506	Rental Property - have someone look for you	Oct 25 '16 at 18:07
1504	2508	How do I get a Tax Exemption Certificate for export from the US if I am in another country?	Mar 19 '11 at 9:30
1505	2509	Free/open source Unix software that pulls info from all my banks/brokers/credit cards? 	Apr 7 '11 at 16:13
1506	2510	Creating S-Corp: Should I Name My Wife as a Director/Shareholder?	Jun 26 '13 at 5:14
1507	2511	Why do credit cards require a minimum annual household income?	Sep 16 '11 at 14:14
1508	2512	Why is the total 401(k) contribution limit (employee + employer) so high?	Jul 31 '14 at 2:17
1509	2513	How does revenue shared with someone else go into my tax return in Canada?	Nov 17 '15 at 2:27
1510	2514	Should I take contributions out of my Roth IRA to live off of?	Jul 23 '12 at 16:03
1511	2516	Which banks have cash-deposit machines in Germany?	Feb 27 '12 at 14:01
1512	2520	Withdraw USD from PayPal without conversion to my home currency of EUR?	Sep 24 '16 at 14:05
1513	2521	How can I determine which stores are regarded as supermarkets for a rewards credit card?	Jan 21 '15 at 6:16
1514	2522	When should I walk away from my mortgage?	Aug 24 '11 at 11:38
1515	2523	Multi-Account Budgeting Tools/Accounts/Services	Sep 12 '11 at 19:33
1516	2524	Adding a 180 day expiration to checks	Jul 16 '11 at 7:14
1517	2526	Consumer Loans vs Mortgages	Jul 28 '16 at 2:12
1518	2527	One company asks for picture of my debit card	Aug 4 '16 at 7:40
1519	2529	How can I save money on a gym / fitness membership? New Year's Resolution is to get in shape - but on the cheap!	Jan 6 '10 at 18:02
1520	2531	Emptying a Roth IRA account	Jun 10 '12 at 0:17
1521	2532	How does stock dilution work in relation to share volume?	Sep 28 '15 at 5:35
1522	2533	US citizen sometimes residing in spain, wanting to offer consulting services in Europe, TAXES?	Sep 28 '15 at 5:28
1523	2536	How to evaluate stocks? e.g. Whether some stock is cheap or expensive?	Nov 24 '10 at 7:47
1524	2537	Which US services allow small/micro-payments using a credit card? 	Dec 1 '14 at 14:56
1525	2538	Buying a home with down payment from family as a “loan”	Jun 8 '11 at 3:25
1526	2539	How does refinancing work?	Jan 23 '13 at 0:10
1527	2541	Why don't some places require a credit card receipt signature, and some do?	Feb 20 '13 at 18:27
1528	2543	What ETF best tracks the price of gasoline, or else crude oil?	May 3 '11 at 23:24
1529	2544	Any extra fees charged by passive stock and bond ETFs on top of the standard fees?	Apr 29 at 1:30
1530	2545	Should the bank cover money lost due to an unsuccessful transfer?	May 3 at 13:46
1531	2546	What's the fuss about Credit Score / History?	Oct 24 '10 at 11:38
1532	2547	Can I use FOREX markets to exchange cash?	Jun 22 at 21:12
1533	2549	How to graph the market year over year? for example Dow Jones Index	Feb 9 '12 at 23:30
1534	2550	I'm only spending roughly half of what I earn; should I spend more?	Nov 18 '10 at 5:33
1535	2551	How to find cheaper alternatives to a traditional home telephone line?	Jan 18 '14 at 17:09
1536	2552	Does cash back apply to online payments with credit card	Jan 7 '14 at 21:59
1537	2553	Are there any banks in Europe that I can have an account without being in that country?	Mar 7 '14 at 20:53
1538	2554	Is there a way to monitor when executives or leaders in a company sell off large holdings?	May 8 '14 at 22:48
1539	2559	Why is the breakdown of a loan repayment into principal and interest of any importance?	Sep 25 '15 at 3:39
1540	2560	What are the reasons to get more than one credit card?	Mar 3 '15 at 8:15
1541	2561	Buy and sell stock at specific earnings	Apr 7 '15 at 18:15
1542	2563	Why must identification be provided when purchasing a money order?	Jun 3 '14 at 13:09
1543	2565	What are the financial advantages of living in Switzerland?	Jan 26 at 4:37
1544	2566	Purpose of having good credit when you are well-off?	Nov 21 '16 at 22:33
1545	2568	How to pay with cash when car shopping?	Sep 7 at 16:39
1546	2570	Best way to start investing, for a young person just starting their career?	Sep 25 '11 at 17:17
1547	2571	Foreign company incorporated in US and W9	May 15 '11 at 22:13
1548	2572	What special considerations need to be made for a US citizen who wishes to purchase a house in Canada?	Apr 13 at 12:25
1549	2573	What effect would a company delisting from the LSE to move to china have on shareholders?	Jan 29 '16 at 13:06
1550	2575	How long should I keep my tax documents, and why?	Apr 13 at 12:25
1551	2577	Why are typical 401(k) plan fund choices so awful?	Apr 3 '11 at 12:08
1552	2578	Making higher payments on primary residence mortgage or rental?	May 21 '11 at 14:43
1553	2579	What to do when a job offer is made but with a salary less than what was asked for?	Aug 19 '11 at 19:28
1554	2580	Stock market vs. baseball card trading analogy	Sep 18 '13 at 21:18
1555	2583	EIN for personal LLC: Is this an S-Corp?	Jul 21 '15 at 3:24
1556	2585	What are institutional investors?	Aug 4 '15 at 0:02
1557	2587	Typically how many digits are in a cheque number? 	Jul 21 '16 at 19:31
1558	2589	How can I detect potential fraud in a company before investing in them?	Oct 21 '15 at 21:42
1559	2590	Are non-residents or foreigners permitted to buy or own shares of UK companies?	May 22 '10 at 13:49
1560	2591	What are the fundamental levels that makes a Stock Ideal? (either to sell or buy)	Feb 8 '12 at 2:23
1561	2592	What is the added advantage of a broker being a member of NFA in addition to IIROC	Apr 17 '14 at 19:22
1562	2593	Am I “cheating the system” by opening up a tiny account with a credit union and then immediately applying for a huge loan?	Oct 12 '11 at 19:39
1563	2594	tax deduction for 30k loan	Mar 8 '16 at 3:58
1564	2596	How much life insurance do I need? 	Aug 23 '11 at 15:52
1565	2597	Is there a catch to offers of $100 when opening up a new checking account?	Sep 5 '10 at 8:54
1566	2598	Is it possible for US retail forex traders to trade exotic currencies?	Dec 27 '15 at 16:24
1567	2599	What are online payment options with no chargeback protection?	Jul 3 '14 at 15:05
1568	2601	Shorting: What if you can't find lenders?	Aug 20 '16 at 15:55
1569	2602	Should I get an accountant for my taxes?	Nov 15 '11 at 12:54
1570	2603	What's the difference between TaxAct and TurboTax?	Jan 20 '11 at 21:14
1571	2604	Do I need to pay tax on the amount of savings I have in the bank?	Mar 20 '14 at 9:42
1572	2605	When are stock trade fees deducted?	Dec 23 '15 at 15:28
1573	2606	Where to categorize crypto-currencies	Mar 8 '14 at 12:01
1574	2608	How smart is it really to take out a loan right now?	Feb 7 '12 at 23:26
1575	2609	In a house with shared ownership, if one person moves out and the other assumes mortgage, how do we determine who owns what share in the end?	Jun 25 '12 at 9:23
1576	2611	Why do financial institutions charge so much to convert currency?	Sep 18 at 7:29
1577	2613	What is meant by “unexpected expenses” in my 401k plan?	Apr 13 at 12:25
1578	2614	Stopping Payment on a Check--How Long Does it Take?	Sep 18 '15 at 4:39
1579	2615	Earning salary from USA remotely from New Zealand?	Sep 27 '15 at 19:42
1580	2616	Live in Oregon and work in Washington: Do I need to file Oregon state taxes?	Oct 13 at 17:38
1581	2618	How smart is it to really be 100% debt free?	Apr 16 '13 at 13:32
1582	2619	Can't the account information on my checks be easily used for fraud?	Nov 2 '10 at 12:22
1583	2620	How to share income after marriage and kids?	Dec 13 '16 at 6:58
1584	2622	Is the gross amount of US debt dangerous for the small investor?	Aug 31 '12 at 16:50
1585	2623	What are some time tested passive income streams?	Dec 5 '15 at 1:30
1586	2624	How secure is my 403(b)? Can its assets be “raided”?	Nov 8 '14 at 22:14
1587	2625	How is an ETF's NAV determined?	Aug 19 '16 at 22:21
1588	2626	Stop paying VAT on digital sales when earnings are under £81k	Oct 18 '16 at 11:13
1589	2627	Why do some people go through contortions to avoid paying taxes, yet spend money on expensive financial advice, high-interest loans, etc?	Nov 9 '10 at 20:47
1590	2630	Is housing provided by a university as employer reported on 1040?	Feb 3 at 5:32
1591	2631	Capital Gains in an S Corp	Apr 13 at 12:25
1592	2632	Why do stocks go up? Is it due to companies performing well, or what else? [duplicate]	Sep 1 '15 at 3:18
